Category,#,Task,Description,Status,Notes
Repo Setup,1,Create intelligent_search_app meta-repo,Initialize single flat GitHub repository to hold all components,Done,Committed to https://github.com/datacode09/intelligent_search_app
Repo Setup,2,Clone poc-hods-ingest source,Copy ingest function source into meta-repo as plain directory,Done,poc-hods-ingest/ present with .git stripped
Repo Setup,3,Clone hydro-one-hods-api source,Copy API backend source into meta-repo as plain directory,Done,hydro-one-hods-api/ present with .git stripped
Repo Setup,4,Clone hydro-one-hods-ui source,Copy frontend source into meta-repo as plain directory,Done,hydro-one-hods-ui/ present with .git stripped
Repo Setup,5,Remove git submodule entries,Deinit and rm cached submodule references; delete .gitmodules,Done,Fixed after initial commit had embedded submodules
Repo Setup,6,Push all source to main branch,Single commit with all three component directories as plain code,Done,Branch: main
Repo Setup,7,Add top-level README / SETUP.md,End-to-end setup guide from zero Azure account to running app,Done,SETUP.md at repo root (9 steps + troubleshooting)
Repo Setup,8,Add .gitignore,Ignore __pycache__ / .env / node_modules / dist / .venv,Not Done,No .gitignore present yet
Architecture Design,9,Document overall system architecture,Diagram/description: SharePoint → Ingest → Blob → Search → API → UI,Not Done,Architecture implied by code but no formal diagram
Architecture Design,10,Define Azure resource list,Enumerate all Azure services required with SKU/tier decisions,Done,Documented in infra/main.bicep parameters and resources
Architecture Design,11,Define authentication flow,Entra ID app registration → MSAL token → Bearer JWT → API validation,Done,Described in SETUP.md step 3; implemented in auth.py
Architecture Design,12,Define data flow,SharePoint list → Graph API poll → Blob Storage → AI Search indexer → API query,Done,Implemented end-to-end across all components
Architecture Design,13,Define RBAC model,Managed Identity for all Azure-to-Azure auth; no stored secrets in code,Done,DefaultAzureCredential used throughout; KV references for secrets
Architecture Design,14,Define search strategy,Hybrid BM25 + vector with semantic reranking and extractive answers,Done,Implemented in search_index.py with VectorizableTextQuery
Architecture Design,15,Define CI/CD strategy,Azure DevOps YAML pipelines with Workload Identity Federation (OIDC),Done,azure-pipelines/ directory with 4 pipeline files
Architecture Design,16,Define observability strategy,App Insights + Log Analytics; OpenTelemetry SDK in API,Done,telemetry.py + App Insights resource in Bicep
Ingest Component – Design,17,Identify SharePoint source structure,Determine list columns to sync (DocumentName ContentType Prefix Modified),Done,function_app.py maps these metadata fields
Ingest Component – Design,18,Design incremental sync logic,Poll only documents modified since last_sync timestamp stored in Blob,Done,_parse_last_sync + last_sync.txt pattern in function_app.py
Ingest Component – Design,19,Design blob naming convention,Sanitise filenames: strip path separators replace spaces with underscores,Done,_to_blob_name() in function_app.py
Ingest Component – Design,20,Design metadata encoding,Convert SharePoint LookupValue lists to ASCII blob metadata strings,Done,_to_blob_metadata_value() in function_app.py
Ingest Component – Development,21,Implement Graph API authentication,OAuth2 client-credentials flow to obtain access token for Sites.Read.All,Done,get_access_token() in function_app.py
Ingest Component – Development,22,Implement SharePoint list query,GET /sites/{id}/lists/{id}/items with $expand=fields and $filter on Modified,Done,get_sharepoint_documents() in function_app.py
Ingest Component – Development,23,Implement file download from SharePoint,Download document bytes via /driveItem/content endpoint,Done,download_file() in function_app.py
Ingest Component – Development,24,Implement Blob Storage upload,Upload bytes + metadata dict to Azure Blob Storage container,Done,upload_to_blob() in function_app.py
Ingest Component – Development,25,Implement timer trigger Azure Function,Python Azure Function with timer trigger (daily schedule),Done,function_app.py with @app.timer_trigger
Ingest Component – Development,26,Add host.json and requirements.txt,Azure Functions host configuration and Python dependencies,Done,host.json + requirements.txt present in poc-hods-ingest/
Ingest Component – Development,27,Add ruff linting config,ruff.toml with E/F/W/I/UP/B/S rules target py312,Not Done,ruff.toml not present in poc-hods-ingest/
Ingest Component – Development,28,Write unit tests,pytest tests for _parse_last_sync _to_blob_name _to_blob_metadata_value,Done,poc-hods-ingest/tests/test_ingest.py – 11 test cases
Ingest Component – Development,29,Add pytest / coverage config,pytest.ini or pyproject.toml with coverage threshold 60%,Not Done,No pytest config file present
API Component – Design,30,Design query request/response models,Pydantic models for QueryRequest OptimizeHybridQueriesRequest/Response,Done,app/models.py in hydro-one-hods-api
API Component – Design,31,Design OData filter builder,Safe filter string builder with single-quote escaping injection prevention,Done,build_filter() in app/search_index.py
API Component – Design,32,Design JWT validation,RS256 validation via JWKS endpoint with audience/issuer/exp checks,Done,app/auth.py with python-jose
API Component – Design,33,Design CORS policy,Restrict allowed origins to ALLOWED_ORIGINS env var,Done,CORSMiddleware in main.py
API Component – Development,34,Implement /health endpoint,Unauthenticated liveness probe returning {"status":"ok"},Done,main.py line 38-40
API Component – Development,35,Implement /query endpoint,Hybrid search with auth guard; returns hits captions answers,Done,main.py + search_index.py run_search()
API Component – Development,36,Implement /OptimizeHybridQueries endpoint,GPT-4o query optimization returning OptimizedQuery + keywords JSON,Done,main.py + llm.py
API Component – Development,37,Implement Azure OpenAI client,DefaultAzureCredential-backed AzureOpenAI client (no API key),Done,app/llm.py get_client()
API Component – Development,38,Implement Azure AI Search client,SearchClient with DefaultAzureCredential; hybrid + semantic query,Done,app/search_index.py
API Component – Development,39,Implement telemetry bootstrap,configure_azure_monitor() on startup via APPLICATIONINSIGHTS_CONNECTION_STRING,Done,app/telemetry.py
API Component – Development,40,Add requirements.txt,All pinned deps including python-jose azure-monitor-opentelemetry,Done,hydro-one-hods-api/requirements.txt
API Component – Development,41,Add ruff.toml,Linting config target py312 line-length 100,Done,hydro-one-hods-api/ruff.toml
API Component – Development,42,Write unit tests,6 test cases: health auth filter injection,Done,hydro-one-hods-api/tests/test_health.py
API Component – Development,43,Add pytest / coverage config,pyproject.toml or pytest.ini with 70% coverage threshold,Not Done,No pytest config file; threshold set only in pipeline YAML
UI Component – Design,44,Define component structure,React SPA: SearchBar ResultsList ResultCard FilterPanel,Done,Implemented in hydro-one-hods-ui/src/
UI Component – Design,45,Define API integration,Axios/fetch calls to /OptimizeHybridQueries then /query with Bearer token,Done,Implemented in hydro-one-hods-ui/src/
UI Component – Design,46,Define MSAL authentication flow,@azure/msal-react SPA auth with Entra ID; token injected in API headers,Done,Implemented in hydro-one-hods-ui/src/
UI Component – Development,47,Implement search form,Input + submit; calls OptimizeHybridQueries then passes result to /query,Done,hydro-one-hods-ui/src/
UI Component – Development,48,Implement results display,Show document title URL content type prefix and extractive caption,Done,hydro-one-hods-ui/src/
UI Component – Development,49,Implement filter panel,Prefix and ContentType filters sent as OData filter string,Done,hydro-one-hods-ui/src/
UI Component – Development,50,Add Vite build config,vite.config.ts with VITE_API_BASE_URL env var,Done,hydro-one-hods-ui/vite.config.ts
UI Component – Development,51,Add ESLint config,eslint.config.js for React + TypeScript linting,Done,hydro-one-hods-ui/eslint.config.js
UI Component – Development,52,Write UI unit/component tests,Jest or Vitest component tests,Not Done,No test files found in hydro-one-hods-ui/src/__tests__
Infrastructure – Design,53,Design resource naming convention,Use prefix parameter to namespace all resources (hods-dev- etc),Done,All Bicep resources use ${prefix}-{resource} naming
Infrastructure – Design,54,Design Key Vault secret references,App Settings use @Microsoft.KeyVault(SecretUri=...) syntax; no plaintext,Done,Function App and API App settings in main.bicep
Infrastructure – Design,55,Design network security,HTTPS-only app services; no public blob access; CORS on API only,Done,Enforced in main.bicep httpsOnly + allowBlobPublicAccess=false
Infrastructure – Development,56,Write Bicep for Storage Account,Standard LRS; no public blob access,Done,infra/main.bicep – storageAccount resource
Infrastructure – Development,57,Write Bicep for Key Vault,RBAC auth; soft delete 90d; purge protection,Done,infra/main.bicep – keyVault resource
Infrastructure – Development,58,Write Bicep for Log Analytics,PerGB2018 SKU; 90-day retention,Done,infra/main.bicep – logAnalytics resource
Infrastructure – Development,59,Write Bicep for Application Insights,Linked to Log Analytics workspace,Done,infra/main.bicep – appInsights resource
Infrastructure – Development,60,Write Bicep for Azure AI Search,Basic SKU; semantic search free tier,Done,infra/main.bicep – searchService resource
